id,name,reviewStatus,confidence,issues,currentCuisine,suggestedCuisine,currentRecommendedDishes,suggestedRecommendedDishes,suggestedTags,locationHint,fullAddress,reason
"M129","随园食记","high_confidence","0.84","cuisine_empty、full_address_empty","","东北菜","锅包肉，咖喱肥牛","","东北菜、锅包肉、咖喱肥牛、餐饮服务、中餐厅、生活服务、美容美发店、特色、地方风味餐厅","","","/东北|铁锅炖|锅包肉|砂锅居/"
"M133","粤食佳","high_confidence","0.84","cuisine_empty、full_address_empty","","粤菜","海鲜蚝仔烙，凤爪，脆黄瓜","","粤菜、海鲜蚝仔烙、凤爪、脆黄瓜、餐饮服务、中餐厅、广东菜","","","/粤|顺德|茶餐厅|冰室|干蒸|煲仔|肠粉/"
"M011","方砖厂","high_confidence","0.82","cuisine_uncertain、recommended_dishes_empty、full_address_empty","炸酱面（推测）","北京菜","","炸酱面","北京菜、餐饮服务、中餐厅、炸酱面","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M020","徐小黑","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、中餐厅、近沙河","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M023","大理石","high_confidence","0.82","cuisine_uncertain、full_address_empty","自助餐（推测）","北京菜","酸奶、牛肉馅饺子","","北京菜、酸奶、牛肉馅饺子、购物服务、家居建材市场、建材五金市场、家具建材综合市场、生活服务、美容美发店、灯具瓷器市场","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M033","聚恩园","high_confidence","0.82","cuisine_uncertain、full_address_empty","炸酱面 / 北京菜（推测）","北京菜","肘子、酱肉","","北京菜、肘子、酱肉、餐饮服务、中餐厅、风景名胜、风景名胜相关、旅游景点、商务住宅、商务住宅相关","雍和宫附近","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M073","锦炉","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、中餐厅、餐饮相关场所、餐饮相关、特色、地方风味餐厅","郊区多店","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M111","云野菜·和牛寿喜烧（新中关店）","high_confidence","0.82","cuisine_uncertain、recommended_dishes_empty、full_address_empty","寿喜烧 / 日料（推测）","日料","","寿喜烧","日料、餐饮服务、外国餐厅、日本料理、寿喜烧","新中关","","/日式|寿喜烧|和牛|寿司|三文鱼/"
"M123","南京大牌档","high_confidence","0.82","cuisine_empty、full_address_empty","","北京菜","南京烤鸭，赤豆元宵，美龄粥，泡椒鸡，虾黄豆腐，糖芋苗","","北京菜、南京烤鸭、赤豆元宵、美龄粥、泡椒鸡、虾黄豆腐、糖芋苗、餐饮服务、中餐厅、江苏菜","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M125","三文鱼大王（减脂版）","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、外国餐厅、日本料理、购物服务、综合市场、水产海鲜市场、中餐厅、海鲜酒楼","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M126","申德勒加油站西餐厅（日坛路总店）","high_confidence","0.82","cuisine_empty、recommended_dishes_empty","","西餐","","","西餐、餐饮服务、外国餐厅、西餐厅、德国菜、汽车服务、加油站、中国石化、中餐厅、咖啡厅","日坛路总店","光华路甲17号","/西餐|披萨|pizza|俄餐|阿拉伯/"
"M127","水平有限广西米粉·广西风味集","high_confidence","0.82","cuisine_empty、recommended_dishes_empty","","北京菜","","","北京菜、餐饮服务、中餐厅","","北京城区成府路华清嘉园7-6号(五道口地铁站B南口步行330米)","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M016","1733","needs_review","0.78","cuisine_empty、recommended_dishes_empty、full_address_empty","","面食","","","面食、购物服务、购物相关场所、餐饮服务、餐饮相关场所、餐饮相关、交通设施服务、公交车站、公交车站相关、地铁站","大钟寺站附近 / 北航附近","","/面|米粉|米线|粉|炸酱/"
"M074","晋喜","needs_review","0.78","cuisine_uncertain、recommended_dishes_empty、full_address_empty","山西面食（推测）","面食","","","面食、餐饮服务、中餐厅、地名地址信息、热点地名、风景名胜、公园广场、公园、交通设施服务、地铁站","大同古城","","/面|米粉|米线|粉|炸酱/"
"M008","小渝府","needs_review","0.68","recommended_dishes_empty、full_address_empty","川菜","川菜","","火锅","川菜、餐饮服务、中餐厅、四川菜、火锅店、火锅、近学院南路","南路附近","","只生成标签/推荐菜线索，需人工确认"
"M022","比格","needs_review","0.68","recommended_dishes_empty、full_address_empty","披萨自助","披萨自助","","披萨","披萨自助、餐饮服务、外国餐厅、西餐厅、快餐厅、披萨","","","只生成标签/推荐菜线索，需人工确认"
"M026","聚宝源","needs_review","0.68","recommended_dishes_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、清真菜馆、购物服务、专卖店、专营店、火锅、清真、适合聚餐","牛街总店","北京城区牛街5-2号(牛街地铁站D2口步行390米)","只生成标签/推荐菜线索，需人工确认"
"M027","烤匠","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤鱼","烤鱼","","火锅","烤鱼、餐饮服务、中餐厅、火锅店、冷饮店、体育休闲服务、娱乐场所、火锅","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M032","汉巴味德","needs_review","0.68","recommended_dishes_empty、full_address_empty","巴西烤肉自助","巴西烤肉自助","","烤肉","巴西烤肉自助、餐饮服务、快餐厅、中餐厅、烤肉","","","只生成标签/推荐菜线索，需人工确认"
"M035","烤小呆","needs_review","0.68","recommended_dishes_empty、full_address_empty","火锅鸡 / 聚餐","火锅鸡 / 聚餐","","火锅","火锅鸡、聚餐、餐饮服务、中餐厅、综合酒楼、火锅、适合聚餐","","","只生成标签/推荐菜线索，需人工确认"
"M036","客拉客","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","火锅、烤肉","烧烤、餐饮服务、中餐厅、火锅店、特色、地方风味餐厅、火锅、烤肉、近沙河","","","只生成标签/推荐菜线索，需人工确认"
"M042","鲜潭蒸汽石锅鱼","needs_review","0.68","recommended_dishes_empty、full_address_empty","鱼火锅 / 蒸汽鱼","鱼火锅 / 蒸汽鱼","","火锅、酸菜鱼","鱼火锅、蒸汽鱼、餐饮服务、中餐厅、火锅店、特色、地方风味餐厅、购物服务、购物相关场所、体育用品店","超级合生汇、悦荟广场、五道口均有店","","只生成标签/推荐菜线索，需人工确认"
"M046","小院子湘菜馆","needs_review","0.68","recommended_dishes_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉、近沙河","沙河；青年创业大厦店","百沙路200号青年创业大厦F1层","只生成标签/推荐菜线索，需人工确认"
"M051","安又胖","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤肉","烤肉","","烤肉","烤肉、餐饮服务、外国餐厅、韩国料理","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M052","煲仔皇","needs_review","0.68","recommended_dishes_empty、full_address_empty","煲仔饭","煲仔饭","","煲仔饭","煲仔饭、餐饮服务、中餐厅","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M054","承京运·宫廷炸酱面","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京炸酱面","北京炸酱面","","炸酱面","北京炸酱面、餐饮服务、中餐厅、生活服务、生活服务场所、炸酱面","","","只生成标签/推荐菜线索，需人工确认"
"M060","东北原味烧烤","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","烤肉、锅包肉","烧烤、餐饮服务、中餐厅、特色、地方风味餐厅、餐饮相关场所、餐饮相关、烤肉、锅包肉","","","只生成标签/推荐菜线索，需人工确认"
"M075","京晟铜锅涮肉（护国寺店）","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅、烤肉","北京涮羊肉、餐饮服务、餐饮相关场所、餐饮相关、火锅、烤肉","护国寺","","只生成标签/推荐菜线索，需人工确认"
"M079","满恒记","needs_review","0.68","recommended_dishes_empty","涮肉","涮肉","","火锅","涮肉、餐饮服务、中餐厅、火锅店、火锅、清真","","地安门西大街与西四北大街交叉口东南40米","只生成标签/推荐菜线索，需人工确认"
"M083","嬲塞de湘菜馆","needs_review","0.68","recommended_dishes_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉","北师大附近","杏坛路44号(蓟门桥地铁站C口步行460米)","只生成标签/推荐菜线索，需人工确认"
"M085","彭厨","needs_review","0.68","recommended_dishes_empty、full_address_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、餐饮相关场所、餐饮相关、小炒黄牛肉","昌平城里","","只生成标签/推荐菜线索，需人工确认"
"M088","山葵村","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤肉","烤肉","","烤肉","烤肉、餐饮服务、中餐厅、特色、地方风味餐厅、近沙河","沙河较远","","只生成标签/推荐菜线索，需人工确认"
"M089","石器时代","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、特色、地方风味餐厅、烤肉","","","只生成标签/推荐菜线索，需人工确认"
"M093","王奋斗贵州酸汤火锅","needs_review","0.68","recommended_dishes_empty、full_address_empty","贵州酸汤火锅","贵州酸汤火锅","","火锅、酸菜鱼","贵州酸汤火锅、餐饮服务、中餐厅、云贵菜、火锅店、火锅、酸菜鱼、近沙河","沙河附近（推测）","","只生成标签/推荐菜线索，需人工确认"
"M095","玺源居","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、火锅店、清真菜馆、火锅、清真","鼓楼","","只生成标签/推荐菜线索，需人工确认"
"M098","小江庐江西小炒","needs_review","0.68","recommended_dishes_empty、full_address_empty","江西菜","江西菜","","小炒黄牛肉","江西菜、餐饮服务、中餐厅、小炒黄牛肉","玖耀里","","只生成标签/推荐菜线索，需人工确认"
"M099","小街猪手","needs_review","0.68","recommended_dishes_empty、full_address_empty","猪手 / 小吃","猪手 / 小吃","","火锅、酸菜鱼","猪手、小吃、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、火锅店、火锅、酸菜鱼、近学院南路","望京；疑似南路","","只生成标签/推荐菜线索，需人工确认"
"M100","小炉灶铁锅炖","needs_review","0.68","recommended_dishes_empty","东北铁锅炖","东北铁锅炖","","锅包肉","东北铁锅炖、餐饮服务、中餐厅、锅包肉","","北京富雷科技股份有限公司西北门旁","只生成标签/推荐菜线索，需人工确认"
"M104","鸦儿李记","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、清真菜馆、火锅店、火锅、清真","西直门旁、什刹海均有店","","只生成标签/推荐菜线索，需人工确认"
"M001","老张头东北菜","needs_review","0.35","full_address_empty","东北菜","东北菜","溜肉段、锅包肉；锅包肉，大骨头烩酸菜，干煸四季豆","","东北菜、溜肉段、锅包肉、大骨头烩酸菜、干煸四季豆、餐饮服务、中餐厅","恒大城附近；老张头东北老菜馆（具体分店待确认）","","只生成标签/推荐菜线索，需人工确认"
"M002","潇湘阁","needs_review","0.35","","湘菜","湘菜","小炒黄牛肉、茄子、金钱蛋、鸡爪；金钱蛋，擂辣椒，小炒拆骨肉，爆炒猪肝","","湘菜、小炒黄牛肉、茄子、金钱蛋、鸡爪、擂辣椒、小炒拆骨肉、爆炒猪肝、餐饮服务、中餐厅","南路附近；连锁；辉煌国际店","北京城区上地十街1号院辉煌国际广场17街B1层(靠近招商银行)","只生成标签/推荐菜线索，需人工确认"
"M003","广顺兴","needs_review","0.35","","猪肚鸡 / 煲仔饭","猪肚鸡 / 煲仔饭","猪肚鸡、煲仔饭","","猪肚鸡、煲仔饭、餐饮服务、中餐厅、购物服务、购物相关场所、餐饮相关场所、餐饮相关","","朝阳路辅路与十里堡南里中路交叉口东南160米","只生成标签/推荐菜线索，需人工确认"
"M004","四川孙鲶鱼","needs_review","0.35","","川菜 / 鱼火锅","川菜 / 鱼火锅","鲶鱼、黄辣丁","","川菜、鱼火锅、鲶鱼、黄辣丁、餐饮服务、中餐厅","牡丹园；牡丹园店","花园路2号33号楼2层(牡丹园地铁站A西北口步行320米)","只生成标签/推荐菜线索，需人工确认"
"M005","宏宝莱","needs_review","0.35","full_address_empty","冰淇淋 / 饮品","冰淇淋 / 饮品","抹茶、奥利奥口味","","冰淇淋、饮品、抹茶、奥利奥口味、购物服务、综合市场、果品市场、汽车服务、充电站、近学院南路","南路","","只生成标签/推荐菜线索，需人工确认"
"M006","作作烧肉","needs_review","0.35","full_address_empty","日式烧肉","日式烧肉","牛油果冰沙","","日式烧肉、牛油果冰沙、餐饮服务、外国餐厅、餐饮相关场所、餐饮相关、中餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M010","超意兴","needs_review","0.35","full_address_empty","鲁菜快餐","鲁菜快餐","把子肉","","鲁菜快餐、把子肉、餐饮服务、快餐厅、中餐厅","九耀里附近（依据对话）","","只生成标签/推荐菜线索，需人工确认"
"M012","凤临阁","needs_review","0.35","full_address_empty","山西菜 / 烧卖","山西菜 / 烧卖","烧卖","","山西菜、烧卖、地名地址信息、热点地名、交通设施服务、地铁站、风景名胜、风景名胜相关、旅游景点、商务住宅","大同古城","","只生成标签/推荐菜线索，需人工确认"
"M013","拉蒂娜","needs_review","0.35","full_address_empty","巴西烤肉自助","巴西烤肉自助","菠萝","","巴西烤肉自助、菠萝、餐饮服务、外国餐厅、西餐厅、牛扒店、购物服务、家居建材市场、家具城","连锁；具体门店待确认","","只生成标签/推荐菜线索，需人工确认"
"M014","探鱼","needs_review","0.35","","烤鱼","烤鱼","都可以尝试","","烤鱼、都可以尝试、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、外国餐厅、美式风味、特色、地方风味餐厅","沙河附近（推测）","中海大吉巷B1层大吉巷北街152号","只生成标签/推荐菜线索，需人工确认"
"M015","醉江边","needs_review","0.35","full_address_empty","烤鱼 / 牛蛙","烤鱼 / 牛蛙","甜辣烤鱼、牛蛙","","烤鱼、牛蛙、甜辣烤鱼、餐饮服务、中餐厅、特色、地方风味餐厅、近沙河、近学院南路","南路，离学校近；沙河店；豆花烤鱼","","只生成标签/推荐菜线索，需人工确认"
"M017","大宅门","needs_review","0.35","full_address_empty","烤鸭 / 北京菜","烤鸭 / 北京菜","烤鸭","","烤鸭、北京菜、餐饮服务、中餐厅、综合酒楼、购物服务、家居建材市场、建材五金市场、餐饮相关场所、餐饮相关","昌平城里","","只生成标签/推荐菜线索，需人工确认"
"M019","西塔老太太","needs_review","0.35","","烤肉","烤肉","肉整体质量不错","","烤肉、肉整体质量不错、餐饮服务、餐饮相关场所、餐饮相关、中餐厅","超级合生汇","广顺北大街16号院3号楼华彩万象汇4F层西塔老太太烤肉","只生成标签/推荐菜线索，需人工确认"
"M021","真功夫原盅现蒸","needs_review","0.35","recommended_dishes_empty、full_address_empty","快餐","快餐","","","快餐、餐饮服务、快餐厅、中餐厅、餐饮相关场所、餐饮相关","","","只生成标签/推荐菜线索，需人工确认"
"M024","赣掌佬","needs_review","0.35","full_address_empty","江西菜","江西菜","小黄鱼","","江西菜、小黄鱼、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、近沙河","玖耀里（推测）","","只生成标签/推荐菜线索，需人工确认"
"M030","必胜客","needs_review","0.35","full_address_empty","西餐 / 披萨","西餐 / 披萨","自助餐活动","","西餐、披萨、自助餐活动、餐饮服务、快餐厅、必胜客","","","只生成标签/推荐菜线索，需人工确认"
"M031","疯狂烤翅","needs_review","0.35","","烧烤","烧烤","烤翅","","烧烤、烤翅、餐饮服务、中餐厅、快餐厅、近学院南路","南路门口","唐家岭南环路3号唐家岭新城T08小区","只生成标签/推荐菜线索，需人工确认"
"M034","凯鸽","needs_review","0.35","recommended_dishes_empty、full_address_empty","山西菜","山西菜","","","山西菜、地名地址信息、热点地名、风景名胜、交通设施服务、地铁站、商务住宅、商务住宅相关、交通地名、道路名","大同古城","","只生成标签/推荐菜线索，需人工确认"
"M037","楠小罐云南罐罐米线（学院路店）","needs_review","0.35","full_address_empty","云南米线","云南米线","甜品；各种特色米线和米布","","云南米线、甜品、各种特色米线和米布、薄荷烧排骨、餐饮服务、中餐厅","学院路","","只生成标签/推荐菜线索，需人工确认"
"M040","山河屯铁锅炖","needs_review","0.35","","东北铁锅炖","东北铁锅炖","锅包肉、鸡锅","","东北铁锅炖、锅包肉、鸡锅、餐饮服务、中餐厅、近沙河","玖耀里；沙河亦有店","沙河镇玖耀里东区2号楼2层201","只生成标签/推荐菜线索，需人工确认"
